Dates,159,161,162,172,175,176,179,180,181,182,183,187,188,189,190,192,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209,210,211,212,214,215,216,218,219,222,223,224,225,226,228,229,230,232,233,234,236,237,238,239,240,242,243,244,245,246,247,248,250,251,253,254,255,257,258,259,260,261,263
Total,1,12,5,33,24,5,37,11,39,42,5,21,13,7,11,5,1,5,1,2,3,15,11,18,26,20,13,20,19,18,14,18,16,18,25,11,26,10,10,19,6,17,65,16,16,23,10,22,45,25,6,34,40,12,24,15,19,23,21,15,8,12,33,2,37,25,19,29,22,24,17,17,19
