,98,105,112,119,126,133,140,147,154,161,168,175,182,189,196,203,210,217,224,231,238,245,252,259,266,273,280,287,294,301
Combined,177,176,125,74,278,188,173,222,207,238,258,225,198,246,214,177,158,242,189,192,96,180,56,188,135,305,232,118,197,288
